node,label,community
o_portista,[1],0
1DMod,[-1],0
EternalOverthinker,[1],1
somyoshino,[1],2
dagummiie,[1],0
Plenty_Bar7439,"[-1, -1]",3
genius1soum,"[-1, -1, 1, 1, 1]",4
stewieswaffles,[1],0
Smooth-Science4983,[-1],0
No_Elk9976,[1],0
Luna2559,[-1],0
ZakariusMMA,[-1],5
cheesewwhiz,[-1],6
cheet0h0e,[-1],0
Azyall,[-1],7
Firm_Somewhere_8599,[1],0
gia_s_,[1],4
profsmoke,[-1],0
CandidBandicoot4372,"[-1, -1]",2
Known-Amoeba6370,[1],0
Ok-Meeting-88,[1],0
Frequent_Earth2135,[-1],0
MarmiteX1,[1],0
serendipia2002,[-1],0
EnduringMelancholia,[1],0
Tkelly1173,[-1],0
gotpma21,[1],0
Pure_Category_4207,[1],0
hotandcoldt,[-1],0
Outrageous_Spare6422,[-1],0
ap795,"[-1, -1]",7
shewantsthe_dpt,[1],0
coraline_button_,[-1],5
Chessa_Tomlinson,[1],0
Your-mom-07,[1],0
newday2001,[1],0
FinancialEducator765,"[1, 1, 1]",4
No-agency519,[1],0
julittle1,[1],0
Darthpwner,[1],0
Exciting-Composer157,[1],0
hahaiqareadit,[1],1
Fuccmycwoochi,[1],2
Acrobatic-Phase-7696,[-1],3
Shadynatsy,[1],4
hpluvr934,[1],4
Nervous_Ad_4586,[-1],4
odilaza,[-1],4
paruparong_coder,"[1, 1]",5
Alternative_Device68,[-1],6
every1isalreadytaken,[-1],4
wee1kinase,[-1],4
